,llm_y_pred,target
3410,0.0,0
9537,0.0,0
2430,0.0,0
12645,0.0,0
10969,0.0,0
13193,0.0,0
19682,0.0,0
771,1.0,1
968,0.0,0
13081,0.0,0
13337,0.0,0
21292,0.0,0
15807,0.0,0
783,1.0,1
6973,0.0,0
154,1.0,1
12638,0.0,0
137,0.0,0
14292,0.0,0
10252,0.0,0
15540,0.0,0
3003,1.0,1
3003,1.0,0
20318,0.0,0
13154,0.0,0
14720,0.0,0
16996,0.0,0
4383,0.0,0
12978,0.0,0
1923,0.0,0
305,0.0,0
2772,0.0,0
2772,0.0,1
7671,0.0,0
15433,0.0,0
16141,0.0,0
6460,0.0,0
6436,0.0,0
1135,0.0,0
8166,0.0,0
14396,0.0,0
10256,0.0,0
17250,0.0,0
20737,0.0,0
16269,0.0,0
8791,0.0,0
21101,0.0,0
19946,0.0,0
9892,0.0,0
11922,0.0,0
5334,0.0,0
3166,1.0,1
800,0.0,0
8183,0.0,0
4834,0.0,0
3441,1.0,1
19621,0.0,0
15465,0.0,0
278,0.0,0
14907,0.0,0
13549,0.0,0
15318,0.0,0
2776,1.0,1
6110,0.0,0
17072,0.0,0
11553,0.0,0
6616,0.0,0
12183,0.0,0
17590,0.0,0
4669,0.0,0
5575,0.0,0
14287,0.0,0
7788,0.0,0
18991,0.0,0
2575,1.0,1
7757,0.0,0
8452,0.0,0
13310,0.0,0
789,1.0,1
4942,0.0,0
6453,0.0,0
6484,0.0,0
10033,0.0,0
304,0.0,0
18368,0.0,0
13184,0.0,0
19582,0.0,0
12165,0.0,0
8728,0.0,0
8716,0.0,0
13235,0.0,0
19123,0.0,0
20977,0.0,0
6496,0.0,0
16555,0.0,0
649,1.0,1
20652,0.0,0
2020,0.0,0
247,1.0,1
6720,0.0,0
13999,0.0,0
1372,0.0,0
19249,0.0,0
7119,0.0,0
8462,0.0,0
7545,0.0,0
14215,0.0,0
6046,0.0,0
18206,0.0,0
1667,0.0,0
1999,0.0,0
3550,1.0,1
3505,0.0,0
15005,0.0,0
2015,1.0,1
16998,0.0,0
13541,0.0,0
18272,0.0,0
14691,0.0,0
12119,0.0,0
2038,1.0,1
2038,1.0,0
20406,0.0,0
831,1.0,1
414,1.0,1
17397,0.0,0
1769,1.0,1
1769,1.0,0
8227,0.0,0
12929,0.0,0
18365,0.0,0
13899,0.0,0
12147,0.0,0
19805,0.0,0
20423,0.0,0
3340,1.0,1
3028,0.0,0
13198,0.0,0
18172,0.0,0
5490,0.0,0
13577,0.0,0
19932,0.0,0
3353,1.0,1
3095,0.0,0
5148,0.0,0
16239,0.0,0
18527,0.0,0
245,1.0,1
455,1.0,1
18,1.0,1
10545,0.0,0
18187,0.0,0
6391,0.0,0
3194,0.0,0
14747,0.0,0
17208,0.0,0
11230,0.0,0
14887,0.0,0
10242,0.0,0
1703,1.0,1
14508,0.0,0
6933,0.0,0
5952,0.0,0
20916,0.0,0
3050,1.0,1
13663,0.0,0
15259,0.0,0
30,1.0,1
13346,0.0,0
1556,0.0,0
1104,0.0,0
16080,0.0,0
3720,1.0,1
20058,0.0,0
19601,0.0,0
10549,0.0,0
9553,0.0,0
21175,0.0,0
20328,0.0,0
448,0.0,0
14890,0.0,0
1058,1.0,1
8207,0.0,0
11492,0.0,0
12546,0.0,0
2996,0.0,0
9551,0.0,0
1395,1.0,1
11392,0.0,0
18243,0.0,0
20502,0.0,0
15407,0.0,0
13219,0.0,0
2246,0.0,0
2246,0.0,1
8256,0.0,0
2208,0.0,0
17132,0.0,0
3160,1.0,1
1127,1.0,1
5345,0.0,0
15810,0.0,0
19919,0.0,0
8091,0.0,0
6590,0.0,0
3366,0.0,0
1561,1.0,1
17788,0.0,0
477,0.0,0
477,0.0,1
12373,0.0,0
4514,0.0,0
2804,1.0,1
19871,0.0,0
12753,0.0,0
6408,0.0,0
6626,0.0,0
9710,0.0,0
19504,0.0,0
20426,0.0,0
15993,0.0,0
5975,0.0,0
8854,0.0,0
3501,0.0,0
12975,0.0,0
19569,0.0,0
16682,0.0,0
2766,0.0,0
3041,0.0,0
3041,0.0,1
1857,0.0,0
3201,0.0,0
12452,0.0,0
19817,0.0,0
4435,0.0,0
20153,0.0,0
1211,1.0,1
11044,0.0,0
20155,0.0,0
1012,1.0,1
8039,0.0,0
793,1.0,1
20216,0.0,0
18246,0.0,0
19050,0.0,0
18163,0.0,0
2290,1.0,1
12257,0.0,0
20598,0.0,0
775,1.0,1
188,1.0,1
7678,0.0,0
494,1.0,1
839,1.0,1
2317,1.0,1
8343,0.0,0
1605,0.0,0
20108,0.0,0
13228,0.0,0
18867,0.0,0
4334,0.0,0
16543,0.0,0
18822,0.0,0
189,1.0,1
16115,0.0,0
20815,0.0,0
7535,0.0,0
17643,0.0,0
13187,0.0,0
15097,0.0,0
1375,1.0,1
6568,0.0,0
6741,0.0,0
3754,0.0,0
4119,0.0,0
19192,0.0,0
3312,1.0,1
14701,0.0,0
11998,0.0,0
3756,0.0,0
6868,0.0,0
19709,0.0,0
11633,0.0,0
7861,0.0,0
3880,0.0,0
3384,1.0,1
11441,0.0,0
2686,0.0,0
13241,0.0,0
9313,0.0,0
14110,0.0,0
12367,0.0,0
2242,0.0,0
2280,1.0,1
11499,0.0,0
8517,0.0,0
275,1.0,1
6129,0.0,0
2767,1.0,1
1242,0.0,0
19220,0.0,0
2038,0.0,1
2038,0.0,0
11065,0.0,0
17956,0.0,0
1776,1.0,1
2046,1.0,1
1247,1.0,1
16727,0.0,0
8025,0.0,0
1760,0.0,0
1256,0.0,0
19530,0.0,0
2579,0.0,0
2273,0.0,0
9210,0.0,0
3025,0.0,0
18109,0.0,0
16031,0.0,0
2056,1.0,1
481,0.0,0
16333,0.0,0
4228,0.0,0
11618,0.0,0
18090,0.0,0
7860,0.0,0
4757,0.0,0
3590,0.0,0
2374,1.0,1
13725,0.0,0
18547,0.0,0
4384,0.0,0
4013,0.0,0
10189,0.0,0
16032,0.0,0
3082,0.0,0
11397,0.0,0
2301,0.0,0
862,0.0,0
19457,0.0,0
16901,0.0,0
19806,0.0,0
10951,0.0,0
11505,0.0,0
16001,0.0,0
7557,0.0,0
18203,0.0,0
1226,0.0,0
18533,0.0,0
3912,0.0,0
21123,0.0,0
9125,0.0,0
1769,0.0,1
1769,0.0,0
10999,0.0,0
13192,0.0,0
7955,0.0,0
10584,0.0,0
12853,0.0,0
20060,0.0,0
2298,0.0,0
1351,0.0,0
6088,0.0,0
2362,1.0,1
16991,0.0,0
5245,0.0,0
988,0.0,0
19878,0.0,0
101,0.0,0
18353,0.0,0
6820,0.0,0
18495,0.0,0
2274,1.0,1
6517,0.0,0
12258,0.0,0
792,0.0,0
21350,0.0,0
555,1.0,1
17006,0.0,0
6966,0.0,0
13765,0.0,0
4398,0.0,0
714,1.0,1
10420,0.0,0
12910,0.0,0
979,1.0,1
16765,0.0,0
19172,0.0,0
6637,0.0,0
21078,0.0,0
6865,0.0,0
1759,1.0,1
114,1.0,1
9139,0.0,0
946,0.0,0
10830,0.0,0
14238,0.0,0
12077,0.0,0
